Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
FEDEX CORP;004598;FDX;31/05/2017;2016;INDL;C;D;STD;USD;48552,00;5116,00;5425,00;8420,00;16784,00;2997,00;60319,00;A
MACY'S INC;004611;M;31/01/2017;2016;INDL;C;D;STD;USD;19851,00;596,00;1315,00;2373,00;10157,00;619,00;25778,00;A
FIFTH THIRD BANCORP;004640;FITB;31/12/2017;2017;FS;C;D;STD;USD;142193,00;;;;;;;A
FIFTH THIRD BANCORP;004640;FITB;31/12/2017;2017;INDL;C;D;STD;USD;142193,00;231,00;3087,00;3323,00;5724,00;2194,00;6676,00;A
REGIONS FINANCIAL CORP;004674;RF;31/12/2017;2017;FS;C;D;STD;USD;124294,00;;;;;;;A
REGIONS FINANCIAL CORP;004674;RF;31/12/2017;2017;INDL;C;D;STD;USD;124294,00;150,00;2878,00;2878,00;5495,00;1263,00;6093,00;A
M & T BANK CORP;004699;MTB;31/12/2017;2017;FS;C;D;STD;USD;118593,49;;;;;;;A
M & T BANK CORP;004699;MTB;31/12/2017;2017;INDL;C;D;STD;USD;118593,49;78,97;3321,25;3518,37;5464,19;1408,31;6018,94;A
US BANCORP;004723;USB;31/12/2017;2017;FS;C;D;STD;USD;462040,00;;;;;;;A
US BANCORP;004723;USB;31/12/2017;2017;INDL;C;D;STD;USD;462040,00;0,00;12043,00;12511,00;20462,00;6218,00;23996,00;A
FIRST HORIZON CORP;004737;FHN;31/12/2017;2017;FS;C;D;STD;USD;41423,39;;;;;;;A
FIRST HORIZON CORP;004737;FHN;31/12/2017;2017;INDL;C;D;STD;USD;41423,39;53,05;676,45;719,88;1346,86;165,52;1494,48;A
FLUOR CORP;004818;FLR;31/12/2017;2017;INDL;C;D;STD;USD;9327,69;283,11;440,30;665,57;843,76;191,38;19520,97;A
FORD MOTOR CO;004839;F;31/12/2017;2017;INDL;C;D;STD;USD;257808,00;7049,00;8044,00;17166,00;30431,00;7602,00;156776,00;A
FRANKLIN RESOURCES INC;004885;BEN;30/09/2017;2017;FS;C;D;STD;USD;17534,00;;;;;;;A
FRANKLIN RESOURCES INC;004885;BEN;30/09/2017;2017;INDL;C;D;STD;USD;17534,00;74,90;2250,50;2335,90;2335,90;1696,70;6392,20;A
GAP INC;004990;GPS;31/01/2017;2016;INDL;C;D;STD;USD;7610,00;524,00;1332,00;1931,00;6239,00;676,00;15516,00;A
GENERAL DYNAMICS CORP;005046;GD;31/12/2017;2017;INDL;C;D;STD;USD;35046,00;428,00;4177,00;4618,00;6628,00;2912,00;30973,00;A
GE AEROSPACE;005047;GE;31/12/2017;2017;INDL;C;D;STD;USD;377945,00;7371,00;10653,00;18012,00;35625,00;-5774,00;120468,00;A
GENERAL MILLS INC;005071;GIS;31/05/2017;2016;INDL;C;D;STD;USD;21812,60;684,40;2847,90;3451,50;6252,80;1657,50;15619,80;A
GENUINE PARTS CO;005125;GPC;31/12/2017;2017;INDL;C;D;STD;USD;12412,38;156,76;1068,74;1236,43;4912,00;616,76;16308,80;A
GOODYEAR TIRE & RUBBER CO;005234;GT;31/12/2017;2017;INDL;C;D;STD;USD;17064,00;881,00;1396,00;2136,00;4438,00;346,00;15377,00;A
GRAINGER (W W) INC;005256;GWW;31/12/2017;2017;INDL;C;D;STD;USD;5804,25;237,28;1160,31;1419,31;4267,56;585,73;10424,86;A
HALLIBURTON CO;005439;HAL;31/12/2017;2017;INDL;C;D;STD;USD;25085,00;1373,00;2009,00;3565,00;3821,00;-463,00;20620,00;A
HASBRO INC;005518;HAS;31/12/2017;2017;INDL;C;D;STD;USD;5289,98;134,88;810,36;982,20;2877,82;396,61;5209,78;A
HELMERICH & PAYNE;005581;HP;30/09/2017;2017;INDL;C;D;STD;USD;6439,99;397,57;-189,97;395,58;555,42;-128,21;1804,74;A
HERSHEY CO;005597;HSY;31/12/2017;2017;INDL;C;D;STD;USD;5553,73;257,68;1553,02;1781,12;3677,76;782,98;7515,43;A
HP INC;005606;HPQ;31/10/2017;2017;INDL;C;D;STD;USD;32913,00;402,00;4011,00;4365,00;9931,00;2526,00;52056,00;A
HOME DEPOT INC;005680;HD;31/01/2017;2016;INDL;C;D;STD;USD;42966,00;1621,00;13464,00;15218,00;32313,00;7957,00;94595,00;A
HORMEL FOODS CORP;005709;HRL;31/10/2017;2017;INDL;C;D;STD;USD;6975,91;221,29;1241,06;1372,04;2134,14;846,74;9167,52;A
CENTERPOINT ENERGY INC;005742;CNP;31/12/2017;2017;INDL;C;D;STD;USD;22736,00;1426,00;1072,00;2108,00;2108,00;1792,00;9614,00;A
HUNTINGTON BANCSHARES;005786;HBAN;31/12/2017;2017;FS;C;D;STD;USD;104185,00;;;;;;;A
HUNTINGTON BANCSHARES;005786;HBAN;31/12/2017;2017;INDL;C;D;STD;USD;104185,00;194,00;1788,00;2201,00;4108,00;1186,00;4740,00;A
ILLINOIS TOOL WORKS;005878;ITW;31/12/2017;2017;INDL;C;D;STD;USD;16780,00;297,00;3399,00;3861,00;6261,00;1687,00;14314,00;A
INTEL CORP;006008;INTC;31/12/2017;2017;INDL;C;D;STD;USD;123249,00;11778,00;18488,00;26617,00;47076,00;9601,00;62761,00;A
INTL BUSINESS MACHINES CORP;006066;IBM;31/12/2017;2017;INDL;C;D;STD;USD;125356,00;3229,00;10913,00;15454,00;40930,00;5753,00;79139,00;A
INTL FLAVORS & FRAGRANCES;006078;IFF;31/12/2017;2017;INDL;C;D;STD;USD;4598,93;128,97;646,11;762,28;1589,61;295,67;3398,72;A
INTL PAPER CO;006104;IP;31/12/2017;2017;INDL;C;D;STD;USD;33903,00;1391,00;2297,00;3630,00;5250,00;2144,00;21743,00;A
INTERPUBLIC GROUP OF COS;006136;IPG;31/12/2017;2017;INDL;C;D;STD;USD;12695,20;155,90;973,60;1130,70;1130,70;579,00;7882,40;A
JOHNSON & JOHNSON;006266;JNJ;31/12/2017;2017;INDL;C;D;STD;USD;157303,00;3279,00;19847,00;25489,00;57463,00;1300,00;76450,00;A
JOHNSON CONTROLS INTL PLC;006268;JCI;30/09/2017;2017;INDL;C;D;STD;USD;51884,00;1343,00;3231,00;4419,00;10527,00;1611,00;30172,00;A
KLA CORP;006304;KLAC;30/06/2017;2017;INDL;C;D;STD;USD;5532,17;38,59;1290,23;1342,33;2245,55;926,08;3480,01;A
KINDER MORGAN INC;006310;KMI;31/12/2017;2017;INDL;C;D;STD;USD;79055,00;3188,00;3556,00;5817,00;5817,00;183,00;13705,00;A
KELLANOVA;006375;K;31/12/2017;2017;INDL;C;D;STD;USD;16350,00;501,00;2214,00;2695,00;5550,00;1269,00;12923,00;A
KIMBERLY-CLARK CORP;006435;KMB;31/12/2017;2017;INDL;C;D;STD;USD;15151,00;785,00;3326,00;4050,00;7277,00;2278,00;18259,00;A
KROGER CO;006502;KR;31/01/2017;2016;INDL;C;D;STD;USD;36505,00;3699,00;3436,00;5776,00;25835,00;1975,00;115337,00;A
LAM RESEARCH CORP;006565;LRCX;30/06/2017;2017;INDL;C;D;STD;USD;12122,77;157,42;1934,75;2241,66;3852,06;1697,76;8013,62;A
LEGGETT & PLATT INC;006649;LEG;31/12/2017;2017;INDL;C;D;STD;USD;3550,80;159,40;443,60;559,60;963,20;292,60;3943,80;A
LEGG MASON INC;006653;LM;31/03/2017;2016;FS;C;D;STD;USD;8290,42;;;;;;;A
LEGG MASON INC;006653;LM;31/03/2017;2016;INDL;C;D;STD;USD;8290,42;39,98;492,86;573,07;573,07;227,26;2886,90;A
LENNAR CORP;006669;LEN;30/11/2017;2017;INDL;C;D;STD;USD;18745,03;111,77;1367,10;1494,78;2768,41;810,48;12646,37;A
LILLY (ELI) & CO;006730;LLY;31/12/2017;2017;INDL;C;D;STD;USD;44981,00;1076,80;4973,90;6420,40;18290,30;-204,10;22871,30;A
LINCOLN NATIONAL CORP;006742;LNC;31/12/2017;2017;FS;C;D;STD;USD;281763,00;;;;;;;A
LINCOLN NATIONAL CORP;006742;LNC;31/12/2017;2017;INDL;C;D;STD;USD;281763,00;0,00;2166,00;;2166,00;2079,00;14092,00;A
LOCKHEED MARTIN CORP;006774;LMT;31/12/2017;2017;INDL;C;D;STD;USD;46521,00;1177,00;5668,00;6863,00;6863,00;2002,00;51048,00;A
LOEWS CORP;006781;L;31/12/2017;2017;FS;C;D;STD;USD;79586,00;;;;;;;A
LOEWS CORP;006781;L;31/12/2017;2017;INDL;C;D;STD;USD;79586,00;1031,00;1959,00;2833,00;2833,00;1164,00;13500,00;A
RANGE RESOURCES CORP;006788;RRC;31/12/2017;2017;INDL;C;D;STD;USD;11728,84;1212,54;292,96;1187,68;1386,80;333,15;2609,11;A
LOWE'S COS INC;006829;LOW;31/01/2017;2016;INDL;C;D;STD;USD;34408,00;1167,00;6278,00;7767,00;22464,00;3091,00;65017,00;A
MARATHON OIL CORP;007017;MRO;31/12/2017;2017;INDL;C;D;STD;USD;22012,00;1974,00;-525,00;2093,00;2656,00;-5723,00;4373,00;A
HOST HOTELS & RESORTS INC;007063;HST;31/12/2017;2017;FS;C;D;STD;USD;11693,00;;;;;;;A
HOST HOTELS & RESORTS INC;007063;HST;31/12/2017;2017;INDL;C;D;STD;USD;11693,00;0,00;698,00;;796,00;564,00;5423,00;A
MARSH & MCLENNAN COS;007065;MMC;31/12/2017;2017;INDL;C;D;STD;USD;20429,00;302,00;2914,00;3395,00;3395,00;1492,00;14024,00;A
MASCO CORP;007085;MAS;31/12/2017;2017;INDL;C;D;STD;USD;5488,00;173,00;1173,00;1292,00;2734,00;533,00;7644,00;A
MATTEL INC;007116;MAT;31/12/2017;2017;INDL;C;D;STD;USD;6238,50;297,16;-167,10;96,99;2125,25;-1053,84;4924,95;A
MCCORMICK & CO INC;007146;MKC;30/11/2017;2017;INDL;C;D;STD;USD;10385,80;182,40;787,60;903,60;2147,10;477,40;4834,10;A
MCDONALD'S CORP;007154;MCD;31/12/2017;2017;INDL;C;D;STD;USD;33803,70;1853,70;8389,50;9617,00;11848,30;5192,30;22820,40;A
MCKESSON CORP;007171;MCK;31/03/2017;2016;INDL;C;D;STD;USD;60969,00;404,00;3441,00;4209,00;11451,00;5070,00;198533,00;A
MEDTRONIC PLC;007228;MDT;30/04/2017;2016;INDL;C;D;STD;USD;99816,00;1254,00;6593,00;9510,00;21414,00;4028,00;29710,00;A
CVS HEALTH CORP;007241;CVS;31/12/2017;2017;INDL;C;D;STD;USD;95131,00;1918,00;10044,00;12523,00;31026,00;6622,00;184765,00;A
MERCK & CO;007257;MRK;31/12/2017;2017;INDL;C;D;STD;USD;87872,00;1888,00;8148,00;12725,00;32196,00;2394,00;40122,00;A
MICRON TECHNOLOGY INC;007343;MU;31/08/2017;2017;INDL;C;D;STD;USD;35336,00;4734,00;5989,00;9855,00;12409,00;5089,00;20322,00;A
ENTERGY CORP;007366;ETR;31/12/2017;2017;INDL;C;D;STD;USD;46707,15;3905,62;1781,78;3577,45;3577,45;425,35;11074,48;A
3M CO;007435;MMM;31/12/2017;2017;INDL;C;D;STD;USD;37987,00;1373,00;7333,00;8877,00;17286,00;4858,00;31657,00;A
MOTOROLA SOLUTIONS INC;007585;MSI;31/12/2017;2017;INDL;C;D;STD;USD;8208,00;227,00;1335,00;1678,00;3225,00;-155,00;6380,00;A
MURPHY OIL CORP;007620;MUR;31/12/2017;2017;INDL;C;D;STD;USD;9860,94;1009,67;239,85;1301,93;1585,75;-311,79;2097,70;A
BANK OF AMERICA CORP;007647;BAC;31/12/2017;2017;FS;C;D;STD;USD;2281234,00;;;;;;;A
BANK OF AMERICA CORP;007647;BAC;31/12/2017;2017;INDL;C;D;STD;USD;2281234,00;0,00;44663,00;46766,00;84109,00;18232,00;100417,00;A
TENET HEALTHCARE CORP;007750;THC;31/12/2017;2017;INDL;C;D;STD;USD;23385,00;707,00;1389,00;2259,00;2259,00;-704,00;19179,00;A
NEWELL BRANDS INC;007875;NWL;31/12/2017;2017;INDL;C;D;STD;USD;33135,50;406,20;1772,10;2408,10;5773,20;2748,80;14742,20;A
NEWMONT CORP;007881;NEM;31/12/2017;2017;INDL;C;D;STD;USD;20563,00;866,00;1309,00;2735,00;3294,00;-98,00;7348,00;A
NIKE INC  -CL B;007906;NKE;31/05/2017;2016;INDL;C;D;STD;USD;23259,00;1105,00;4749,00;5455,00;16018,00;4240,00;34350,00;A
NOBLE ENERGY INC;007912;NBL;31/12/2017;2017;INDL;C;D;STD;USD;21476,00;2649,00;113,00;2228,00;2831,00;-1118,00;4060,00;I
NORDSTROM INC;007922;JWN;31/01/2017;2016;INDL;C;D;STD;USD;7858,00;846,00;980,00;1625,00;5962,00;354,00;14757,00;A
NORFOLK SOUTHERN CORP;007923;NSC;31/12/2017;2017;INDL;C;D;STD;USD;35711,00;1723,00;3435,00;4490,00;4490,00;5404,00;10551,00;A
NISOURCE INC;007974;NI;31/12/2017;2017;INDL;C;D;STD;USD;19961,70;1695,80;932,20;1502,50;1502,50;128,50;4874,60;A
XCEL ENERGY INC;007977;XEL;31/12/2017;2017;INDL;C;D;STD;USD;43030,00;3244,00;2198,00;3677,00;3677,00;1148,00;11404,00;A
NORTHERN TRUST CORP;007982;NTRS;31/12/2017;2017;FS;C;D;STD;USD;138590,50;;;;;;;A
NORTHERN TRUST CORP;007982;NTRS;31/12/2017;2017;INDL;C;D;STD;USD;138590,50;91,60;2736,20;3157,90;5403,30;1199,00;5715,50;A
NORTHROP GRUMMAN CORP;007985;NOC;31/12/2017;2017;INDL;C;D;STD;USD;34917,00;928,00;3299,00;3774,00;6429,00;2015,00;25803,00;A
WELLS FARGO & CO;008007;WFC;31/12/2017;2017;FS;C;D;STD;USD;1951757,00;;;;;;;A
WELLS FARGO & CO;008007;WFC;31/12/2017;2017;INDL;C;D;STD;USD;1951757,00;0,00;46439,00;46439,00;84896,00;22183,00;96776,00;A
NUCOR CORP;008030;NUE;31/12/2017;2017;INDL;C;D;STD;USD;15841,26;448,56;1904,38;2631,44;3296,47;1318,69;20252,39;A
