Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
006788;50017;RRC;75281A10;31/12/2019;31/12/2019;29/02/2020;2,07;-0,02;-0,47;-0,29;0,64;1,82
006730;50876;LLY;53245710;31/12/2019;31/12/2019;29/02/2020;0,04;0,17;0,63;0,29;0,93;14,03
010453;51369;TER;88077010;31/12/2019;31/12/2019;29/02/2020;0,13;0,24;0,31;0,28;0,47;0,88
002312;52230;RHI;77032310;31/12/2019;31/12/2019;29/02/2020;0,16;0,33;0,41;0,5;0,51;1,02
007750;52337;THC;88033G40;31/12/2019;31/12/2019;29/02/2020;;0,11;;0,11;0,91;-57,58
004423;52476;EFX;29442910;31/12/2019;31/12/2019;29/02/2020;0,17;0,11;-0,13;0,09;0,67;2,05
005256;52695;GWW;38480210;31/12/2019;31/12/2019;29/02/2020;0,11;0,27;0,43;0,33;0,66;2,13
005518;52978;HAS;41805610;31/12/2019;31/12/2019;29/02/2020;0,21;0,12;0,22;0,13;0,66;1,96
006136;53065;IPG;46069010;31/12/2019;31/12/2019;29/02/2020;0,34;0,08;0,23;0,16;0,83;5,32
011300;53225;GHC;38463710;31/12/2019;31/12/2019;29/02/2020;1,1;0,05;0,09;0,04;0,44;0,78
008823;54148;PHM;74586710;31/12/2019;31/12/2019;29/02/2020;0,52;0,13;0,2;0,16;0,49;0,96
005878;56573;ITW;45230810;31/12/2019;31/12/2019;29/02/2020;0,06;0,26;0,66;0,32;0,8;3,98
001988;57568;BLL;05849810;31/12/2019;31/12/2019;29/02/2020;0,17;0,11;0,15;0,11;0,83;4,86
001449;57904;AFL;00105510;31/12/2019;31/12/2019;29/02/2020;0,89;0,03;0,11;0,15;0,81;4,28
007982;58246;NTRS;66585910;31/12/2019;31/12/2019;29/02/2020;0,46;0,03;0,15;0,14;0,92;11,34
009882;58683;LUV;84474110;31/12/2019;31/12/2019;29/02/2020;0,44;0,16;0,19;0,23;0,62;1,63
001447;59176;AXP;02581610;31/12/2019;31/12/2019;29/02/2020;0,21;0,06;0,32;0,11;0,88;7,1
003505;59248;TAP;60871R20;31/12/2019;31/12/2019;29/02/2020;1,34;0,08;0,02;0,06;0,53;1,13
006008;59328;INTC;45814010;31/12/2019;31/12/2019;29/02/2020;0,31;0,25;0,27;0,22;0,43;0,76
007647;59408;BAC;06050510;31/12/2019;31/12/2019;29/02/2020;0,78;0,02;0,11;0,07;0,89;8,19
062689;59459;TRV;89417E10;31/12/2019;31/12/2019;29/02/2020;0,75;0,04;0,11;0,1;0,76;3,24
009778;60206;SNA;83303410;31/12/2019;31/12/2019;29/02/2020;0,38;0,19;0,21;0,21;0,4;0,66
008245;60442;PNC;69347510;31/12/2019;31/12/2019;29/02/2020;0,69;0,02;0,11;0,08;0,88;7,32
008253;60506;PCAR;69371810;31/12/2019;31/12/2019;29/02/2020;0,38;0,16;0,24;0,16;0,66;1,92
