Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
US BANCORP;4723;66157;90297330;USB;31/12/2018;5;5;4;1;0,8;0,61;0,03;0,16;0,13;0,89;8,15;USD;467374;;;;;;;A
US BANCORP;4723;66157;90297330;USB;31/12/2018;5;5;4;1;0,8;0,61;0,03;0,16;0,13;0,89;8,15;USD;467374;0;12219;12686;21142;7096;25775;A
VALERO ENERGY CORP;15247;85269;91913Y10;VLO;31/12/2018;4;3;3;0,75;0,75;0,85;0,12;0,12;0,14;0,55;1,27;USD;50155;2284;4429;5829;6772;3122;111407;A
VERISIGN INC;66368;85753;92343E10;VRSN;31/12/2018;3;2;3;0,6667;1;;0,34;;0,99;1,72;-2,38;USD;1914,5;37,01;767,39;815,76;1071,2;582,49;1214,97;A
VERIZON COMMUNICATIONS INC;2136;65875;92343V10;VZ;31/12/2018;7;4;6;0,5714;0,8571;0,37;0,18;0,19;0,18;0,79;3,95;USD;264829;16658;29791;47171;75658;15528;130863;A
VULCAN MATERIALS CO;11228;15202;92916010;VMC;31/12/2018;3;3;1;1;0,3333;0,44;0,12;0,09;0,1;0,47;0,89;USD;9832,13;469,09;767,57;1113,82;1447,19;515,81;4382,87;A
VULCAN MATERIALS CO;11228;15202;92916010;VMC;31/12/2018;4;4;2;1;0,5;0,44;0,12;0,09;0,1;0,47;0,89;USD;9832,13;469,09;767,57;1113,82;1447,19;515,81;4382,87;A
WASTE MANAGEMENT INC;14477;11955;94106L10;WM;31/12/2018;2;2;0;1;0;0,2;0,19;0,26;0,17;0,72;2,61;USD;22650;1694;2735;4312;5765;1925;14914;A
WASTE MANAGEMENT INC;14477;11955;94106L10;WM;31/12/2018;6;6;5;1;0,8333;0,2;0,19;0,26;0,17;0,72;2,61;USD;22650;1694;2735;4312;5765;1925;14914;A
WATERS CORP;61574;82651;94184810;WAT;31/12/2018;4;4;4;1;1;0,11;0,19;0,31;0,21;0,58;1,38;USD;3727,43;96,08;742,61;851,01;1528,06;593,79;2419,93;A
WESTERN UNION CO;175263;91461;95980210;WU;31/12/2018;7;5;2;0,7143;0,2857;;0,15;;0,4;1,03;-30,04;USD;8996,8;;;;;;;A
WESTERN UNION CO;175263;91461;95980210;WU;31/12/2018;7;5;2;0,7143;0,2857;;0,15;;0,4;1,03;-30,04;USD;8996,8;136,7;1137;1401,7;2553,8;851,9;5589,9;A
WHIRLPOOL CORP;11465;25419;96332010;WHR;31/12/2018;9;9;2;1;0,2222;0,34;0,1;-0,06;0,15;0,83;6,61;USD;18347;590;1324;1969;4107;-183;21037;A
WILLIAMS COS INC;11506;38156;96945710;WMB;31/12/2018;9;8;8;0,8889;0,8889;0,61;0,08;-0,01;0,06;0,65;2;USD;45302;3256;2096;3821;4335;-155;8686;A
WPX ENERGY INC;187128;13141;98212B10;WPX;31/12/2018;6;6;6;1;1;0,94;0,17;0,06;0,08;0,48;0,91;USD;8203;1476;558;1406;1594;151;2310;I
GRAINGER (W W) INC;5256;52695;38480210;GWW;31/12/2018;6;6;5;1;0,8333;0,13;0,27;0,42;0,33;0,64;1,97;USD;5873;239;1344;1598;4602;782;11221;A
WYNN RESORTS LTD;149318;89533;98313410;WYNN;31/12/2018;7;7;4;1;0,5714;0,19;0,14;0,38;0,11;0,86;5,61;USD;13216,27;1475,97;1203,07;1753,67;2620,69;572,43;6706,96;A
XCEL ENERGY INC;7977;23931;98389B10;XEL;31/12/2018;5;3;2;0,6;0,4;0,65;0,08;0,08;0,07;0,73;2,76;USD;45987;3957;1965;3607;3607;1261;11537;A
XEROX HOLDINGS CORP;11636;27983;98412160;XRX;31/12/2018;7;7;6;1;0,8571;1,12;0,11;0,07;0,12;0,65;1,86;USD;14874;90;1268;1772;4537;361;9830;A
XYLEM INC;189491;13035;98419M10;XYL;31/12/2018;7;7;4;1;0,5714;0,26;0,14;0,19;0,15;0,61;1,6;USD;7222;237;714;975;2292;549;5207;A
YUM BRANDS INC;65417;85348;98849810;YUM;31/12/2018;6;6;1;1;0,1667;;0,53;;0,82;2,92;-1,52;USD;4130;234;2316;2499;2847;1542;5688;A
ZIONS BANCORPORATION NA;11687;84129;98970110;ZION;31/12/2018;4;4;4;1;1;0,92;0,02;0,13;0,1;0,89;8,07;USD;68746;;;;;;;A
ZIONS BANCORPORATION NA;11687;84129;98970110;ZION;31/12/2018;4;4;4;1;1;0,92;0,02;0,13;0,1;0,89;8,07;USD;68746;129;1300;1493;2821;884;3033;A
