Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
4093;27959;26441C20;DUKE ENERGY CORP;DUK;01/12/2018;5;3;4;60,00%;80,00%;31/12/2018;31/12/2018;28/02/2019;0,83;0,06;0,05;0,05;0,7;2,32
63501;83862;26924640;E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2018;7;6;2;85,71%;28,57%;31/12/2018;31/12/2018;28/02/2019;0,55;0,03;0,17;0,2;0,9;8,89
29392;80080;27743210;EASTMAN CHEMICAL CO;EMN;01/12/2018;8;4;6;50,00%;75,00%;31/12/2018;31/12/2018;28/02/2019;0,65;0,13;0,17;0,13;0,63;1,74
114524;86356;27864210;EBAY INC;EBAY;01/12/2018;3;2;1;66,67%;33,33%;31/12/2018;31/12/2018;28/02/2019;0,36;0,12;0,24;0,14;0,72;2,63
4213;70578;27886510;ECOLAB INC;ECL;01/12/2018;10;10;6;100,00%;60,00%;31/12/2018;31/12/2018;28/02/2019;0,21;0,15;0,17;0,14;0,6;1,5
9846;15720;28102010;EDISON INTERNATIONAL;EIX;01/12/2018;8;8;7;100,00%;87,50%;31/12/2018;31/12/2018;28/02/2019;0,81;0,07;-0,02;0,08;0,78;3,48
133366;87657;28176E10;EDWARDS LIFESCIENCES CORP;EW;01/12/2018;3;3;3;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,1;0,2;0,24;0,27;0,41;0,7
6730;50876;53245710;ELI LILLY & CO;LLY;01/12/2018;8;6;5;75,00%;62,50%;31/12/2018;31/12/2018;28/02/2019;0,08;0,17;0,3;0,26;0,75;3,36
4423;52476;29442910;ENERFLEX LTD;EFX;01/12/2018;4;4;0;100,00%;0,00%;31/12/2018;31/12/2018;28/02/2019;0,3;0,16;0,09;0,14;0,56;1,29
7366;24010;29364G10;ENTERGY CORP;ETR;01/12/2018;5;4;2;80,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,81;0,06;0,07;0,04;0,81;4,33
16478;75825;26875P10;EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2018;8;2;4;25,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,47;0,25;0,16;0,18;0,43;0,75
4430;24328;26884L10;EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2018;6;5;3;83,33%;50,00%;31/12/2018;31/12/2018;28/02/2019;2,66;0,09;-0,17;0,03;0,47;0,89
4423;52476;29442910;EQUIFAX INC;EFX;01/12/2018;6;6;6;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,3;0,16;0,09;0,14;0,56;1,29
8539;21776;30161N10;EXELON CORP;EXC;01/12/2018;6;4;6;66,67%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,96;0,07;0,05;0,07;0,72;2,81
126296;90808;30212P30;EXPEDIA GROUP INC (Expedia Inc prior to 03/2018);EXPE;01/12/2018;4;2;3;50,00%;75,00%;31/12/2018;31/12/2018;28/02/2019;0,25;0,1;0,09;0,09;0,68;3,01
4494;87717;30213010;EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2018;5;5;1;100,00%;20,00%;31/12/2018;31/12/2018;28/02/2019;0,17;0,26;0,31;0,4;0,4;0,67
4503;11850;30231G10;EXXON MOBIL CORP;XOM;01/12/2018;3;3;3;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,76;0,12;0,1;0,1;0,43;0,77
14225;11618;31190010;FASTENAL CO;FAST;01/12/2018;4;3;2;75,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,16;0,36;0,33;0,38;0,31;0,44
165993;89003;31620M10;FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006);FIS;01/12/2018;4;2;3;50,00%;75,00%;31/12/2018;31/12/2018;28/02/2019;0,35;0,13;0,07;0,09;0,57;1,33
4640;34746;31677310;FIFTH THIRD BANCORP;FITB;01/12/2018;6;3;1;50,00%;16,67%;31/12/2018;31/12/2018;28/02/2019;1,02;0,02;0,14;0,1;0,89;7,99
4737;36397;32051710;FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2018;7;6;1;85,71%;14,29%;31/12/2018;31/12/2018;28/02/2019;1,05;0,03;0,13;0,14;0,88;8,03
175404;91611;33643310;FIRST SOLAR INC;FSLR;01/12/2018;6;4;2;66,67%;33,33%;31/12/2018;31/12/2018;28/02/2019;1,17;0,02;0,03;0,01;0,27;0,37
8099;23026;33793210;FIRSTENERGY CORP;FE;01/12/2018;5;5;3;100,00%;60,00%;31/12/2018;31/12/2018;28/02/2019;0,48;0,09;0,14;0,1;0,83;4,83
28477;79265;30244510;FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2018;5;2;5;40,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,32;0,16;0,15;0,17;0,33;0,48
4108;30940;34354P10;FLOWSERVE CORP;FLS;01/12/2018;4;3;2;75,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,36;0,1;0,07;0,11;0,64;1,8
4818;88853;34341210;FLUOR CORP;FLR;01/12/2018;7;7;3;100,00%;42,86%;31/12/2018;31/12/2018;28/02/2019;0,66;0,07;0,07;0,08;0,65;1,96
4510;19166;30249130;FMC CORP;FMC;01/12/2018;6;4;3;66,67%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,35;0,13;0,2;0,19;0,68;2,17
4839;25785;34537086;FORD MOTOR CO;F;01/12/2018;4;2;2;50,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;1,2;0,07;0,1;0,04;0,86;6,14
28118;79089;34988V10;FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2018;5;5;2;100,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,75;0,11;-0,01;0,12;0,63;1,68
14590;81774;35671D85;FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2018;5;5;3;100,00%;60,00%;31/12/2018;31/12/2018;28/02/2019;0,93;0,17;0,21;0,23;0,58;2,48
23821;15391;36473H10;GANNETT CO INC (Gannett SpinCo Inc prior to 06/2015) (De-listed 11/2019);GCI;01/12/2018;5;5;1;100,00%;20,00%;31/12/2018;31/12/2018;28/02/2019;1,07;0,12;0,01;0,12;0,58;1,39
23821;15391;36473H10;GANNETT CO INC (New Media Investment Group Inc prior to 11/2019);GCI;01/12/2018;6;6;4;100,00%;66,67%;31/12/2018;31/12/2018;28/02/2019;1,07;0,12;0,01;0,12;0,58;1,39
5046;12052;36955010;GENERAL DYNAMICS CORP;GD;01/12/2018;5;2;3;40,00%;60,00%;31/12/2018;31/12/2018;28/02/2019;0,27;0,13;0,28;0,22;0,74;2,87
5047;12060;36960410;GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2018;20;18;18;90,00%;90,00%;31/12/2018;31/12/2018;28/02/2019;0,47;0,06;-0,43;0,07;0,83;8,3
