Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker Symbol;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
006136;53065;IPG;46069010;31/12/2018;31/12/2018;28/02/2019;0,33;0,09;0,24;0,22;0,83;5,44
011300;53225;GHC;38463710;31/12/2018;31/12/2018;28/02/2019;0,95;0,07;0,08;0,07;0,39;0,63
008823;54148;PHM;74586710;31/12/2018;31/12/2018;28/02/2019;0,67;0,14;0,23;0,17;0,53;1,11
005878;56573;ITW;45230810;31/12/2018;31/12/2018;28/02/2019;0,10;0,26;0,59;0,30;0,78;3,57
001988;57568;BLL;05849810;31/12/2018;31/12/2018;28/02/2019;0,27;0,11;0,10;0,11;0,78;3,76
001449;57904;AFL;00105510;31/12/2018;31/12/2018;28/02/2019;0,78;0,03;0,10;0,15;0,83;4,98
007982;58246;NTRS;66585910;31/12/2018;31/12/2018;28/02/2019;0,55;0,03;0,16;0,14;0,92;11,58
009882;58683;LUV;84474110;31/12/2018;31/12/2018;28/02/2019;0,48;0,17;0,20;0,23;0,62;1,66
001447;59176;AXP;02581610;31/12/2018;31/12/2018;28/02/2019;0,26;0,06;0,37;0,11;0,88;6,96
003505;59248;TAP;60871R20;31/12/2018;31/12/2018;28/02/2019;1,29;0,07;0,07;0,06;0,54;1,21
006008;59328;INTC;45814010;31/12/2018;31/12/2018;28/02/2019;0,36;0,26;0,28;0,24;0,41;0,71
007647;59408;BAC;06050510;31/12/2018;31/12/2018;28/02/2019;1,02;0,02;0,12;0,07;0,89;7,87
062689;59459;TRV;89417E10;31/12/2018;31/12/2018;28/02/2019;0,73;0,04;0,11;0,10;0,78;3,55
009778;60206;SNA;83303410;31/12/2018;31/12/2018;28/02/2019;0,39;0,20;0,22;0,23;0,42;0,73
008245;60442;PNC;69347510;31/12/2018;31/12/2018;28/02/2019;0,86;0,02;0,12;0,08;0,88;7,01
008253;60506;PCAR;69371810;31/12/2018;31/12/2018;28/02/2019;0,47;0,16;0,24;0,16;0,66;1,97
