Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
COMERICA INC;3231;25081;20034010;CMA;31/12/2019;9;5;6;0,5556;0,6667;0,72;0,03;0,16;0,13;0,9;9,02;USD;73402;;;;;;;A
COMERICA INC;3231;25081;20034010;CMA;31/12/2019;9;5;6;0,5556;0,6667;0,72;0,03;0,16;0,13;0,9;9,02;USD;73402;86;1937;2051;3275;1198;3817;A
CONSOLIDATED EDISON INC;3413;11404;20911510;ED;31/12/2019;6;5;5;0,8333;0,8333;0,8;0,08;0,06;0,07;0,69;2,21;USD;58079;3238;2676;4360;4360;1343;12574;A
CITIGROUP INC;3243;70519;17296742;C;31/12/2019;6;6;0;1;0;1,04;0,02;0,11;0,06;0,9;9,09;USD;1951158;;;;;;;A
CITIGROUP INC;3243;70519;17296742;C;31/12/2019;6;6;0;1;0;1,04;0,02;0,11;0,06;0,9;9,09;USD;1951158;5336;40431;44336;44336;19401;103449;A
CORNING INC;3532;22293;21935010;GLW;31/12/2019;10;9;7;0,9;0,7;0,49;0,12;0,08;0,1;0,55;1,23;USD;28898;1987;1752;3255;5813;960;11503;A
COLGATE-PALMOLIVE CO;3170;18729;19416210;CL;31/12/2019;3;3;1;1;0,3333;0,01;0,31;;0,51;0,96;123,73;USD;15034;335;3759;4278;9793;2367;15693;A
CSX CORP;2574;62148;12640810;CSX;31/12/2019;7;5;3;0,7143;0,4286;0,34;0,17;0,18;0,17;0,69;2,23;USD;38257;1657;4874;6223;6223;3331;11937;A
CUMMINS INC;3650;41080;23102110;CMI;31/12/2019;6;4;1;0,6667;0,1667;0,29;0,16;0,29;0,25;0,57;1,5;USD;19737;700;2505;3174;6629;2260;23571;A
CVS HEALTH CORP;7241;17005;12665010;CVS;31/12/2019;6;3;5;0,5;0,8333;0,74;0,08;0,1;0,09;0,71;2,48;USD;222449;2457;12672;17043;47463;6634;256776;A
DANAHER CORP;3735;49680;23585110;DHR;31/12/2019;5;2;4;0,4;0,8;0,27;0,08;0,09;0,08;0,51;1,05;USD;62081,6;635,5;3362,4;4551,9;11173,2;3008,2;17911,1;A
DAVITA INC;61483;82307;23918K10;DVA;31/12/2019;4;4;3;1;0,75;0,29;0,13;0,2;0,13;0,8;6,47;USD;17311,39;766,55;1755,53;2370,68;3473,99;810,98;11388,48;A
DEVON ENERGY CORP;14934;87137;25179M10;DVN;31/12/2019;5;2;1;0,4;0,2;0,62;0,1;-0,01;0,01;0,57;1,34;USD;13717;1941;160;1696;2211;-355;6220;A
DISCOVER FINANCIAL SVCS;177376;92121;25470910;DFS;31/12/2019;4;4;4;1;1;0,43;0,04;0,27;0,13;0,9;8,61;USD;113996;;;;;;;A
